Move,mean,max,min
767,12233.25,12900,11046
768,12263.6875,12916,11058
769,12276.0,12952,11058
770,12290.6875,12956,11058
771,12304.5625,12988,11078
772,12322.0,12992,11078
773,12328.6875,12992,11080
774,12336.375,13012,11088
775,12342.9375,13014,11090
776,12355.375,13030,11092
777,12369.0,13066,11100
778,12386.0,13074,11108
779,12400.0625,13138,11112
780,12410.0,13138,11152
781,12424.625,13138,11154
782,12437.75,13138,11162
783,12449.5625,13142,11166
784,12482.0625,13150,11166
785,12544.0,13170,11500
786,12555.612903225807,13174,11500
787,12565.225806451614,13182,11504
788,12582.258064516129,13182,11516
789,12595.290322580646,13186,11520
790,12611.032258064517,13198,11528
791,12617.354838709678,13198,11544
792,12625.161290322581,13198,11580
793,12640.258064516129,13202,11612
794,12655.483870967742,13210,11740
795,12663.032258064517,13214,11740
796,12679.41935483871,13244,11740
797,12694.0,13248,11740
798,12705.870967741936,13266,11744
799,12713.41935483871,13276,11746
800,12720.838709677419,13280,11752
801,12736.0,13302,11760
802,12751.677419354839,13302,11770
803,12763.161290322581,13306,11770
804,12770.967741935483,13310,11770
805,12780.90322580645,13318,11792
806,12794.967741935483,13322,11796
807,12805.935483870968,13322,11820
808,12814.774193548386,13338,11840
809,12823.483870967742,13370,11840
810,12835.870967741936,13434,11876
811,12843.870967741936,13446,11952
812,12865.935483870968,13462,11952
813,12873.161290322581,13464,11952
814,12882.838709677419,13464,11952
815,12890.064516129032,13478,11952
816,12913.290322580646,13502,12292
817,12924.838709677419,13502,12296
818,12934.451612903225,13506,12304
819,12942.90322580645,13508,12324
820,12954.064516129032,13516,12344
821,12960.387096774193,13516,12344
822,12973.290322580646,13532,12344
823,12982.838709677419,13532,12356
824,12988.129032258064,13536,12360
825,12994.064516129032,13544,12376
826,13002.774193548386,13544,12380
827,13010.258064516129,13544,12380
828,13021.870967741936,13570,12380
829,13028.387096774193,13574,12380
830,13035.333333333334,13604,12384
831,13041.533333333333,13608,12388
832,13053.2,13680,12394
833,13066.866666666667,13688,12418
834,13082.0,13690,12466
835,13098.866666666667,13694,12502
836,13116.0,13694,12502
837,13134.066666666668,13694,12566
838,13145.103448275862,13834,12612
839,13176.896551724138,13838,12612
840,13191.793103448275,13838,12612
841,13200.206896551725,13840,12648
842,13221.42857142857,14104,12650
843,13221.777777777777,14120,12654
844,13241.407407407407,14120,12658
845,13267.185185185184,14124,12662
846,13297.076923076924,14124,12664
847,13342.5,14128,12676
848,13361.166666666666,14130,12692
849,13370.25,14134,12696
850,13392.166666666666,14170,12696
851,13400.25,14178,12712
852,13412.916666666666,14218,12744
853,13427.25,14218,12822
854,13436.166666666666,14218,12830
855,13471.083333333334,14218,12838
856,13504.666666666666,14218,12838
857,13522.666666666666,14238,12854
858,13538.0,14242,12858
859,13552.08695652174,14266,12904
860,13577.130434782608,14268,12908
861,13594.869565217392,14276,12908
862,13598.695652173914,14286,12910
863,13605.739130434782,14286,12934
